ID No,District,Latitude,Longitude,"Season(SA = Summer Autumn, WS = Winter Spring)","Rice Crop Intensity(D=Double, T=Triple)",Date of Harvest,Field size (ha),Predicted Rice Yield (kg/ha)
1,Chau_Phu,10.542192,105.18792,WS,T,10-04-2022,1.4,7289.432644180483
2,Chau_Thanh,10.400189,105.331053,SA,T,15-07-2022,1.32,3658.728268180622
3,Chau_Phu,10.505489,105.203926,SA,D,14-07-2022,1.4,3418.866406866634
4,Chau_Phu,10.52352,105.138274,WS,D,10-04-2022,1.8,5495.955838725167
5,Thoai_Son,10.29466,105.248528,SA,T,20-07-2022,2.2,6521.702253176558
6,Chau_Phu,10.633572,105.172813,WS,D,12-04-2022,2.5,13066.823698792978
7,Chau_Thanh,10.434116,105.27315,SA,T,15-07-2022,2.2,6356.1057371336055
8,Chau_Phu,10.61225,105.175364,SA,D,09-08-2022,4.0,5107.631594029752
9,Thoai_Son,10.268095,105.344826,WS,T,10-04-2022,1.5,5786.180236462659
10,Chau_Phu,10.523312,105.286299,WS,T,01-04-2022,3.0,5368.706726299647
11,Chau_Phu,10.554634,105.1522,SA,D,04-07-2022,2.3,7320.385425680252
12,Chau_Phu,10.542998,105.261159,SA,D,14-07-2022,4.9,7401.100635995862
13,Chau_Phu,10.473786,105.190479,SA,T,14-07-2022,1.7,4702.620285635132
14,Chau_Phu,10.52352,105.138274,SA,D,20-07-2022,1.8,9300.696483876283
15,Chau_Thanh,10.371317,105.31009,SA,T,04-08-2022,2.0,4854.662907609275
16,Chau_Thanh,10.456905,105.186106,WS,T,26-03-2022,1.529,4111.617892945785
17,Chau_Phu,10.441423,105.115088,SA,D,20-07-2022,4.0,3988.480107688727
18,Thoai_Son,10.227343,105.230821,SA,T,20-07-2022,1.8,7147.007457212264
19,Thoai_Son,10.279477,105.288145,SA,T,20-07-2022,2.0,7123.091602123231
20,Thoai_Son,10.326776,105.33819,WS,T,12-04-2022,1.7,5824.097767252188
21,Thoai_Son,10.293434,105.256309,WS,T,13-04-2022,2.3,5766.4556932486885
22,Chau_Thanh,10.405702,105.208668,SA,T,20-07-2022,1.32,6443.555149487885
23,Chau_Phu,10.56984,105.190938,WS,T,10-04-2022,2.3,6959.494214980415
24,Chau_Thanh,10.41636,105.142144,SA,T,26-07-2022,1.43,6366.642336526834
25,Chau_Thanh,10.371317,105.31009,WS,T,10-04-2022,2.0,9534.66299431285
26,Chau_Thanh,10.40097,105.348815,WS,T,25-03-2022,2.53,5137.843440905027
27,Chau_Phu,10.594603,105.175686,WS,D,12-04-2022,2.2,6746.215762856124
28,Chau_Phu,10.514912,105.216308,SA,D,14-07-2022,2.0,4925.7288728245085
29,Thoai_Son,10.293434,105.256309,SA,T,20-07-2022,2.3,5284.312906615869
30,Chau_Phu,10.48194,105.151543,SA,D,14-07-2022,2.9,-6312.0570039578015
31,Thoai_Son,10.238171,105.198793,SA,T,20-07-2022,3.6,5551.275882966816
32,Thoai_Son,10.326776,105.33819,SA,T,20-07-2022,1.7,6268.853855047361
33,Chau_Thanh,10.421158,105.237197,WS,T,27-03-2022,1.76,7461.196822390285
34,Chau_Thanh,10.369692,105.29684,WS,T,10-04-2022,4.0,5826.901614300149
35,Chau_Phu,10.473786,105.190479,WS,T,03-04-2022,1.7,7121.188460917941
36,Thoai_Son,10.365734,105.267634,WS,T,12-04-2022,2.5,6558.052891960318
37,Thoai_Son,10.281814,105.114918,SA,T,25-07-2022,5.0,4826.6744741016655
38,Chau_Thanh,10.411649,105.370659,SA,T,15-07-2022,1.43,2283.0276374340665
39,Chau_Phu,10.477062,105.168941,WS,D,03-04-2022,3.4,8035.449848426317
40,Chau_Thanh,10.437524,105.202166,SA,D,20-07-2022,2.31,6574.738853335307
41,Chau_Thanh,10.414613,105.125615,WS,T,27-03-2022,3.85,5844.813026516666
42,Thoai_Son,10.28697,105.341571,SA,T,20-07-2022,1.78,7227.691187974308
43,Chau_Phu,10.64394,105.165296,SA,T,05-08-2022,1.4,5327.486057511626
44,Chau_Thanh,10.420981,105.295797,WS,T,25-03-2022,1.76,7284.280900139006
45,Thoai_Son,10.340626,105.172116,SA,T,23-07-2022,3.0,5574.890858386412
46,Chau_Phu,10.625193,105.181059,SA,D,09-08-2022,3.0,5571.694954009111
47,Chau_Phu,10.479304,105.102943,SA,D,20-07-2022,2.9,2891.168671529351
48,Chau_Thanh,10.392899,105.188514,WS,T,24-03-2022,1.43,8050.081005827194
49,Chau_Thanh,10.426536,105.115181,SA,T,14-07-2022,1.43,5779.40961128702
50,Chau_Phu,10.552114,105.091399,SA,D,05-08-2022,3.6,5223.659679542004
51,Chau_Phu,10.541934,105.247538,WS,T,10-04-2022,2.0,6247.271654063306
52,Thoai_Son,10.303437,105.381252,WS,T,28-03-2022,2.1,6678.455940241197
53,Thoai_Son,10.368837,105.205763,SA,T,21-07-2022,2.3,6968.85364207803
54,Chau_Thanh,10.440557,105.250671,WS,T,27-03-2022,1.76,8147.1006392181735
55,Chau_Thanh,10.430707,105.315671,SA,T,10-07-2022,1.54,7627.675768808357
56,Chau_Thanh,10.378696,105.309113,WS,T,27-03-2022,1.32,5609.315467318664
57,Thoai_Son,10.283467,105.267082,WS,T,20-04-2022,2.2,6847.562772789158
58,Chau_Thanh,10.436907,105.236241,WS,T,27-03-2022,1.375,10733.083826006692
59,Chau_Thanh,10.387619,105.243467,SA,T,19-07-2022,1.3,4859.163707247352
60,Chau_Phu,10.482003,105.203866,SA,T,15-07-2022,3.0,6289.656083452325
61,Chau_Phu,10.545098,105.112895,SA,D,20-07-2022,3.6,5991.41112628512
62,Thoai_Son,10.279477,105.288145,WS,T,10-04-2022,2.0,7525.8864622325245
63,Chau_Thanh,10.40466,105.311554,SA,T,17-07-2022,1.87,9776.40656702689
64,Thoai_Son,10.34489,105.243935,SA,T,23-07-2022,2.3,4536.234598131843
65,Chau_Phu,10.623506,105.132794,WS,T,10-04-2022,5.0,7101.6899800524725
66,Thoai_Son,10.303766,105.203102,WS,T,16-04-2022,2.2,5584.505185265981
67,Chau_Phu,10.656963,105.152679,WS,D,10-04-2022,3.0,8198.970275861157
68,Thoai_Son,10.312202,105.330633,WS,T,10-04-2022,3.0,7318.55818486663
69,Chau_Thanh,10.440335,105.22309,WS,D,27-03-2022,1.76,5308.070152890798
70,Thoai_Son,10.306886,105.290958,SA,T,20-07-2022,1.85,2691.259930292509
71,Chau_Thanh,10.392045,105.307085,SA,T,17-07-2022,1.43,2570.5789028401846
72,Chau_Thanh,10.375619,105.124248,WS,T,24-03-2022,1.87,7141.9182391442055
73,Thoai_Son,10.313955,105.243521,SA,T,20-07-2022,1.3,6118.020969207911
74,Chau_Phu,10.592666,105.141217,SA,T,05-08-2022,2.8,6301.4817615172215
75,Thoai_Son,10.266311,105.23555,WS,T,20-04-2022,1.5,8841.91963775644
76,Chau_Thanh,10.386546,105.19302,SA,T,14-07-2022,1.65,5331.051067715357
77,Thoai_Son,10.282365,105.276189,WS,T,10-04-2022,1.91,7869.034433939127
78,Thoai_Son,10.33791,105.357013,SA,T,20-07-2022,2.0,4225.626905398783
79,Thoai_Son,10.31856,105.374468,WS,D,28-03-2022,1.4,11796.476145627417
