NDVI_mean,NDVI_max,NDVI_min,NDVI_std,Rice Yield (kg/ha),Field size (ha),"Rice Crop Intensity(D=Double, T=Triple)"
0.33965930299955893,0.5202622260976374,-0.04017329657345407,0.16645416085783873,5500,3.4,T
0.3403507116919615,0.5211637947269758,-0.04017329657345411,0.16466506271854886,6000,2.43,T
0.344804031679933,0.5218254737081522,-0.05918524212144502,0.18270825826366238,6400,1.95,D
0.34132981713946564,0.5227599808996773,-0.030354449472096506,0.17355723728554934,6000,4.3,T
0.3302859653553217,0.4998804178023566,-0.04017329657345417,0.15484637984021046,6400,3.3,D
0.3467576273649236,0.5173021242976384,-0.021338155515370712,0.16916731423606682,5500,3.5,T
0.3449783292132156,0.5243167837881217,-0.030354449472096583,0.1771824389037374,6600,2.0,T
0.3432911628018899,0.5175024921536064,-0.028678059320369327,0.176784185169938,6000,4.0,T
0.34585827085710225,0.5150393909517952,-0.021338155515370712,0.17014803144761945,5500,3.0,T
0.34587406445554847,0.5162225734119041,-0.02133815551537073,0.17053204980046432,6000,5.0,T
0.3433416829194263,0.5132441916491668,-0.05918524212144502,0.18231305972405237,5500,4.0,T
0.3369618709151413,0.5153393736762851,-0.04017329657345417,0.16621020969381783,6500,3.5,T
0.32751610127015945,0.49007704184495265,-0.04017329657345417,0.14956638691709068,5500,2.03,T
0.32958344757458213,0.5004222478638007,-0.04017329657345411,0.15644194339254575,5500,2.8,T
0.3443419453018275,0.518047393605078,-0.04017329657345411,0.14404009731762768,6500,2.0,T
0.34494102135077903,0.5192452223489724,-0.030354449472096583,0.17013847669623003,6400,3.0,T
0.33616383767345714,0.5066594942949383,-0.04017329657345411,0.15896640327676137,5500,4.0,D
0.35146131243559825,0.5168156426521302,-0.021338155515370712,0.16125286069381256,5500,2.5,T
0.3478788714460332,0.5244166060883896,-0.04033928395305263,0.1816329053462454,5500,2.25,D
0.34505550246363675,0.5205341202051439,-0.044188054312848266,0.17886636229522773,5500,4.9,D
0.3802941426486163,0.5352357240671844,0.1278306073038968,0.14726084639848394,6600,2.0,D
0.3461404872750514,0.5458441754162427,0.00040371417036735055,0.16524354435790992,5500,3.0,D
0.3621409248220616,0.539886423860011,0.011110090900743731,0.16357690468094047,5500,2.0,T
0.36094501319126054,0.5427315277741392,0.006229753301769232,0.1613983835260289,6500,1.7,T
0.3211704278829578,0.5361226717549191,-0.05395232120451693,0.18820987143103604,6000,1.2,T
0.35116349422837456,0.5389616634770897,0.025975240886837773,0.1652399361647429,5500,2.1,T
0.37318953255657716,0.5377319296428542,0.04117477684998557,0.13121200198172944,6400,3.0,T
0.3277147962196752,0.4672819422343197,-0.014526894385551634,0.13374127619207873,6600,3.2,T
0.32350296264998707,0.4636836849870615,-0.014526894385551634,0.13534439408029406,6000,1.75,D
0.3136320621004936,0.46305395426639145,-0.014526894385551634,0.12675037703387274,6500,3.0,D
0.38062177469492775,0.5169988753121256,0.23002828750018,0.08868600187517162,6000,4.0,T
0.3415050024935051,0.46990968991865695,-0.014526894385551634,0.13595257064936844,6400,2.5,T
0.3872469888230404,0.5270199900488939,0.19832632295463787,0.09853988603276646,6000,5.0,T
0.3948865243325576,0.5188949165003769,0.23468996926405825,0.09103194223795992,6500,2.0,T
0.34152597248340855,0.463943682464726,-0.0033862985152383687,0.1038447098144767,5500,1.91,T
0.3211788096496989,0.45913307008723403,-0.014526894385551561,0.12749795510722006,6400,2.5,D
0.3334584805824587,0.4691282167783402,-0.014526894385551646,0.13331123955307006,6400,2.0,D
0.3375966434266142,0.4683373267176742,-0.014526894385551561,0.13625108200838001,6500,2.3,D
0.332797634495548,0.4666099050687188,-0.014526894385551561,0.13264728549264734,5500,3.0,D
0.3316573803680013,0.4710205229207569,-0.014526894385551561,0.13270644027571576,6600,2.2,D
0.35449035149658487,0.475464726923345,-0.010046557216368514,0.11307888475951848,5500,2.3,D
0.34091488611381293,0.47282210010018855,-0.014526894385551634,0.13634772364433592,6000,3.34,D
0.40182049976053535,0.5275302354000179,0.23549879247505498,0.09097091252859853,5500,1.65,T
0.3649809276290098,0.49506617241321327,-0.01556886227544909,0.12057030609684843,5500,4.0,T
0.3684320642726324,0.5250991244146194,0.07002606429192008,0.11168312128818841,6500,3.0,D
0.3738129052007084,0.5078539926023012,0.07002606429192008,0.09794842215443023,6000,2.0,T
0.373576077215166,0.5080493265287725,0.07002606429192008,0.10365929548628697,6000,1.3,T
0.3736271003328624,0.5088408764573562,0.07002606429192008,0.09921241071019354,6000,1.45,T
0.37932508534275466,0.5133508063097871,0.07002606429192,0.10373184518597262,6000,1.6,T
0.3768962221977918,0.53803496868476,0.07002606429192008,0.11097376868092769,5500,2.0,T
0.3903368686253315,0.5434047115270999,0.19286590729906417,0.09001914152083994,6000,1.8,T
0.3815887241288406,0.5236187613861891,0.07002606429192,0.10655257010160818,6000,5.0,T
0.37649590403168004,0.530472502116357,-0.0003824091778202398,0.11794435703412867,6000,5.0,T
0.39000229235323436,0.5038007194242731,0.25299549138754984,0.07909919212145732,6500,3.6,T
0.3966851022831732,0.5032938384091709,0.2682254514751542,0.07664752384937966,6400,2.3,T
0.3593449137743805,0.5021063691758556,-0.010140616549486179,0.11962029115237086,6400,2.0,T
0.3604737043200386,0.49787400584181396,-0.009546351084812589,0.11825294979369218,5500,2.0,T
0.36225834787549593,0.5044832197244388,-0.009546351084812606,0.12177997959699846,5500,1.95,T
0.36162359611493944,0.5059429941612247,-0.011612903225806496,0.12610853245993556,6500,1.4,T
0.3608029643303585,0.5071136991837173,-0.01161290322580648,0.1247813686861708,5500,2.6,T
0.3652827823401072,0.5082849478813709,-0.02400237794456414,0.1292978139244001,6500,2.0,T
0.3688464542106016,0.5122158827464978,-0.05918524212144502,0.13892297795086678,6500,1.65,T
0.39094812074228946,0.5460539349276332,0.19279291272732008,0.09974525716279647,6000,2.56,T
0.37201834312983834,0.5186348212551247,-0.05918524212144502,0.14811733327002244,6000,1.5,T
0.3760510470640521,0.5389341633018296,0.07002606429192008,0.11795458237472264,6400,1.74,D
0.35229861305324883,0.5167796205150349,-0.022264150943396267,0.1693666444157204,6000,1.7,T
0.3523434521416893,0.5149191718641614,-0.02133815551537073,0.164625305140044,6500,1.7,T
0.35194675432483113,0.5172045211877103,-0.02133815551537073,0.16154803502152898,5500,3.6,T
0.3532004365356183,0.5027374900910709,-0.01161290322580648,0.12160650031424039,6400,2.7,T
0.3584988085926686,0.5013465627674809,-0.011887720171780606,0.11963294957450045,5500,1.8,T
0.35435138347763245,0.48434123008401586,-0.0052535489399753625,0.11373826368328561,5500,1.5,T
0.3565881065644286,0.49229748033653864,-0.007720438845997622,0.11548381661360335,6500,2.3,T
0.3483747623113215,0.4745770775159893,-0.014853472501003613,0.11049553042192128,5500,2.3,T
0.38389705939059693,0.675128128549811,0.04700350111913939,0.18740723452913316,6800,3.4,T
0.37333151782721313,0.6731568439598404,0.05259966858074332,0.18247131795436639,7200,2.43,T
0.36820061336207965,0.6678748759751214,0.05137414431881495,0.17863664359511708,8000,3.5,T
0.38034185849854213,0.7019636509962291,0.0334888964778392,0.19449708725829035,7040,2.0,T
0.3802103212025269,0.6913714148346072,0.030516447917673648,0.19633853615092384,7600,4.3,T
0.3867853787912188,0.6714851118710989,0.03718187874984055,0.1880147486094458,7760,3.5,T
0.3787859058307192,0.705894999902439,0.029959312818801476,0.20071752499376194,6400,2.0,T
0.3817328391718946,0.7015752344579556,0.03000539277810613,0.1969794332280722,7200,4.0,T
0.3847190836837867,0.6938537949459906,0.02978477316536569,0.19434782197650607,6800,7.0,T
0.3866078374981963,0.6868121269563126,0.03044171000598944,0.18951752499344182,7200,3.0,T
0.3831241244057755,0.6997660709750214,0.02343129112713233,0.19365128439938434,8000,1.3,T
0.3896796729405644,0.7115902549728967,0.027425286179040977,0.19550822349382177,7200,1.95,D
0.3792907967085481,0.5617494074571361,0.13325702277066442,0.13625794638165073,7200,2.95,D
0.380320037205173,0.5597301909735377,0.12917626014323244,0.13664186390079452,7040,3.03,D
0.37612657475071193,0.5808203944764088,0.11315865442575193,0.14094915311824716,6400,1.2,D
0.3771946564078848,0.6241152306086934,0.08440253909345315,0.16367163676342059,8000,2.8,T
0.37747682307033403,0.5898500661369905,0.11424985969835959,0.14646063128853962,8000,2.0,T
0.37537502753009794,0.6316674322584775,0.08048683338844012,0.16663111408575415,6880,2.9,T
0.3783101171050114,0.6347107947574208,0.08111659391628627,0.1673218611856469,6400,5.4,T
0.353339577566497,0.5888884702729272,0.10371082131142578,0.1476568367136481,7760,2.0,T
0.35894119242569716,0.5923731926365401,0.09205850226032722,0.15343787484354277,7040,4.9,D
0.367283627288413,0.6399616248404424,0.07589743783624174,0.16641900096223444,6400,2.1,D
0.3524378382360876,0.5671351347602754,0.08576455630746953,0.1455062894553027,7200,1.55,D
0.3698793732258951,0.6487184532173147,0.07196737865791276,0.16938678020936399,6800,4.0,D
0.4140593752779777,0.8204928972313932,0.08591386853729636,0.21738978224918876,7200,3.0,D
