NDVI_mean,NDVI_max,NDVI_min,NDVI_std,Rice Yield (kg/ha)
"<xarray.DataArray ()>
array(0.3396593)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.52026223)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(-0.0401733)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.16645416)
Coordinates:
    spatial_ref  int32 4326",5500
"<xarray.DataArray ()>
array(0.34035071)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.52116379)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(-0.0401733)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.16466506)
Coordinates:
    spatial_ref  int32 4326",6000
"<xarray.DataArray ()>
array(0.34480403)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.52182547)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(-0.05918524)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.18270826)
Coordinates:
    spatial_ref  int32 4326",6400
"<xarray.DataArray ()>
array(0.34132982)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.52275998)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(-0.03035445)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.17355724)
Coordinates:
    spatial_ref  int32 4326",6000
"<xarray.DataArray ()>
array(0.33028597)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.49988042)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(-0.0401733)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.15484638)
Coordinates:
    spatial_ref  int32 4326",6400
"<xarray.DataArray ()>
array(0.34675763)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.51730212)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(-0.02133816)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.16916731)
Coordinates:
    spatial_ref  int32 4326",5500
"<xarray.DataArray ()>
array(0.34497833)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.52431678)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(-0.03035445)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.17718244)
Coordinates:
    spatial_ref  int32 4326",6600
"<xarray.DataArray ()>
array(0.34329116)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.51750249)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(-0.02867806)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.17678419)
Coordinates:
    spatial_ref  int32 4326",6000
"<xarray.DataArray ()>
array(0.34585827)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.51503939)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(-0.02133816)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.17014803)
Coordinates:
    spatial_ref  int32 4326",5500
"<xarray.DataArray ()>
array(0.34587406)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.51622257)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(-0.02133816)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.17053205)
Coordinates:
    spatial_ref  int32 4326",6000
"<xarray.DataArray ()>
array(0.34334168)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.51324419)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(-0.05918524)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.18231306)
Coordinates:
    spatial_ref  int32 4326",5500
"<xarray.DataArray ()>
array(0.33696187)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.51533937)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(-0.0401733)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.16621021)
Coordinates:
    spatial_ref  int32 4326",6500
"<xarray.DataArray ()>
array(0.3275161)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.49007704)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(-0.0401733)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.14956639)
Coordinates:
    spatial_ref  int32 4326",5500
"<xarray.DataArray ()>
array(0.32958345)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.50042225)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(-0.0401733)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.15644194)
Coordinates:
    spatial_ref  int32 4326",5500
"<xarray.DataArray ()>
array(0.34434195)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.51804739)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(-0.0401733)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.1440401)
Coordinates:
    spatial_ref  int32 4326",6500
"<xarray.DataArray ()>
array(0.34494102)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.51924522)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(-0.03035445)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.17013848)
Coordinates:
    spatial_ref  int32 4326",6400
"<xarray.DataArray ()>
array(0.33616384)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.50665949)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(-0.0401733)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.1589664)
Coordinates:
    spatial_ref  int32 4326",5500
"<xarray.DataArray ()>
array(0.35146131)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.51681564)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(-0.02133816)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.16125286)
Coordinates:
    spatial_ref  int32 4326",5500
"<xarray.DataArray ()>
array(0.34787887)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.52441661)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(-0.04033928)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.18163291)
Coordinates:
    spatial_ref  int32 4326",5500
"<xarray.DataArray ()>
array(0.3450555)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.52053412)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(-0.04418805)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.17886636)
Coordinates:
    spatial_ref  int32 4326",5500
"<xarray.DataArray ()>
array(0.38029414)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.53523572)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.12783061)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.14726085)
Coordinates:
    spatial_ref  int32 4326",6600
"<xarray.DataArray ()>
array(0.34614049)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.54584418)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.00040371)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.16524354)
Coordinates:
    spatial_ref  int32 4326",5500
"<xarray.DataArray ()>
array(0.36214092)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.53988642)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.01111009)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.1635769)
Coordinates:
    spatial_ref  int32 4326",5500
"<xarray.DataArray ()>
array(0.36094501)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.54273153)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.00622975)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.16139838)
Coordinates:
    spatial_ref  int32 4326",6500
"<xarray.DataArray ()>
array(0.32117043)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.53612267)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(-0.05395232)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.18820987)
Coordinates:
    spatial_ref  int32 4326",6000
"<xarray.DataArray ()>
array(0.35116349)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.53896166)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.02597524)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.16523994)
Coordinates:
    spatial_ref  int32 4326",5500
"<xarray.DataArray ()>
array(0.37318953)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.53773193)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.04117478)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.131212)
Coordinates:
    spatial_ref  int32 4326",6400
"<xarray.DataArray ()>
array(0.3277148)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.46728194)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(-0.01452689)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.13374128)
Coordinates:
    spatial_ref  int32 4326",6600
"<xarray.DataArray ()>
array(0.32350296)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.46368368)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(-0.01452689)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.13534439)
Coordinates:
    spatial_ref  int32 4326",6000
"<xarray.DataArray ()>
array(0.31363206)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.46305395)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(-0.01452689)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.12675038)
Coordinates:
    spatial_ref  int32 4326",6500
