Latitude and Longitude,Class of Land,RVI,mean_rvi,min_rvi,max_rvi,std_rvi,Predicted Class
"(10.323727047081501, 105.2516346045924)",Rice,"<xarray.DataArray (time: 45)>
array([1.1113684 , 0.61782354, 0.6985732 , 0.39442474, 0.6741435 ,
       0.31658575, 0.46615034, 0.5826733 , 0.1840404 , 0.27993414,
       0.5840246 , 0.5417432 , 1.0395004 , 0.93425703, 0.8595505 ,
       1.1591264 , 0.67593986, 0.90207237, 1.1715994 , 0.83837056,
       0.9431923 , 0.9140851 , 0.72019964, 0.39277893, 0.4760097 ,
       0.10360993, 0.14369297, 0.3724614 , 0.3937209 , 0.59275234,
       0.9019416 , 1.0009525 , 1.1970321 , 0.96790427, 0.8466452 ,
       0.58983725, 0.99311316, 0.6028912 , 0.55273104, 0.6031445 ,
       0.6553505 , 0.43293598, 0.47171468, 0.236284  , 0.29055265],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.65394294, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.10360993)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.19703209)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.29084423)
Coordinates:
    spatial_ref  int32 4326",Rice
"(10.322364360592521, 105.27843410554115)",Rice,"<xarray.DataArray (time: 45)>
array([0.6546094 , 0.7879477 , 0.6879063 , 0.35430214, 0.46575165,
       0.7698941 , 0.45611376, 0.2685236 , 0.59895754, 0.49067846,
       0.69485855, 0.14734979, 1.0244702 , 1.2952325 , 0.9082745 ,
       0.98022205, 0.7869068 , 0.5012146 , 0.9378157 , 0.8370702 ,
       0.58518773, 0.45253387, 0.51437044, 0.6493376 , 0.8218455 ,
       0.12832755, 0.20558535, 0.3252965 , 0.44415653, 0.6133864 ,
       0.5048272 , 1.1089741 , 0.85921365, 1.0837963 , 0.82547903,
       0.95149887, 0.9217183 , 0.9322091 , 0.5929742 , 0.8509431 ,
       0.48436394, 0.52868354, 0.9084609 , 0.18885604, 0.087447  ],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.6492793, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.087447)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.29523253)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.28454575)
Coordinates:
    spatial_ref  int32 4326",Rice
"(10.321455902933202, 105.25254306225168)",Rice,"<xarray.DataArray (time: 45)>
array([0.89011747, 0.867719  , 0.37909502, 0.4436885 , 0.3407287 ,
       0.34325987, 0.3011232 , 0.57142067, 0.20979482, 0.3838203 ,
       0.5015934 , 0.79865265, 1.1961713 , 1.2019668 , 1.006274  ,
       1.0404359 , 0.73926747, 0.9437545 , 1.2754164 , 1.0463694 ,
       0.95988345, 0.76017517, 0.812749  , 0.34885126, 0.8352564 ,
       0.11726282, 0.2414714 , 0.366757  , 0.5595036 , 0.74666697,
       0.89869535, 0.957567  , 1.0575995 , 0.9510407 , 0.8188703 ,
       1.0586814 , 1.0109283 , 1.036065  , 0.61830205, 1.0241548 ,
       0.69468385, 0.7661975 , 0.7000905 , 0.14599419, 0.15112959],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.71376103, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.11726282)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.27541637)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.31788865)
Coordinates:
    spatial_ref  int32 4326",Rice
"(10.324181275911162, 105.25118037576274)",Rice,"<xarray.DataArray (time: 45)>
array([0.6381055 , 0.70070916, 0.43512097, 0.50576496, 0.53292114,
       0.4082932 , 0.4624476 , 0.5175807 , 0.17793176, 0.10798736,
       0.556175  , 0.8731733 , 0.7306724 , 0.75549954, 0.9797594 ,
       1.2818321 , 0.768824  , 1.0572944 , 0.8561026 , 0.97660875,
       1.0334842 , 0.81345963, 0.6263101 , 0.28681096, 0.36986038,
       0.13975638, 0.13546383, 0.3071125 , 0.2598035 , 0.7843851 ,
       0.5762556 , 0.9488548 , 0.8618294 , 0.9069545 , 1.0438514 ,
       0.87356055, 0.8683832 , 0.6076596 , 0.4912168 , 0.57491416,
       0.2684815 , 0.5124984 , 0.62985647, 0.38390523, 0.13798395],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.6170101, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.10798736)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.2818321)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.289143)
Coordinates:
    spatial_ref  int32 4326",Rice
"(10.324635504740822, 105.27389181724476)",Rice,"<xarray.DataArray (time: 45)>
array([0.7757769 , 0.67522043, 0.69880337, 0.34313524, 0.42648494,
       0.43626228, 0.5239829 , 0.48796728, 0.09124139, 0.13649213,
       0.6935421 , 0.3837439 , 1.087909  , 1.1311291 , 1.0295793 ,
       1.1964629 , 0.82975173, 0.92498624, 0.9278525 , 1.0240632 ,
       0.89452916, 0.970199  , 0.7812711 , 0.336018  , 0.36392945,
       0.12968943, 0.16061507, 0.35656944, 0.27163962, 0.8037281 ,
       0.60694736, 1.0192386 , 0.6457792 , 1.0802444 , 1.066561  ,
       0.9087751 , 0.6738185 , 0.6850462 , 0.66828287, 0.8950213 ,
       0.64092547, 0.6028821 , 0.69921833, 0.14715476, 0.16244106],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.6532203, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.09124139)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.19646287)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.31035319)
Coordinates:
    spatial_ref  int32 4326",Rice
"(10.323727047081501, 105.28070524968936)",Rice,"<xarray.DataArray (time: 45)>
array([0.46514708, 0.5714125 , 0.2554679 , 0.27237594, 0.36505654,
       0.97478765, 0.34062624, 0.4041795 , 0.18263067, 0.15352951,
       0.58396846, 0.72077996, 0.9188242 , 1.1561913 , 0.9616847 ,
       1.1702384 , 0.92749906, 0.5698703 , 0.9956428 , 0.8996546 ,
       0.92761314, 0.500749  , 0.53774965, 0.62286484, 0.6959735 ,
       0.23459071, 0.23351617, 0.5389538 , 0.9492973 , 0.90383154,
       0.81004715, 1.1321033 , 0.85362065, 1.2970855 , 1.008518  ,
       0.9172967 , 0.9675633 , 0.6646386 , 0.7374657 , 0.781923  ,
       0.9148727 , 0.39319637, 0.52372235, 0.33031052, 0.20170432],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.6793061, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.15352951)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.29708552)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.30569676)
Coordinates:
    spatial_ref  int32 4326",Rice
"(10.325089733570481, 105.23937042619212)",Rice,"<xarray.DataArray (time: 45)>
array([0.7480668 , 1.2085376 , 0.7637278 , 0.53465325, 0.72614014,
       0.6794712 , 0.27829662, 0.30731803, 0.1584917 , 0.14306773,
       0.19272724, 0.3496524 , 0.9632887 , 0.6322589 , 0.76969767,
       0.6565042 , 0.9414216 , 0.9621241 , 1.3252705 , 1.1118718 ,
       1.0732871 , 1.2444847 , 0.89730513, 0.37164283, 0.43566155,
       0.0780804 , 0.22485483, 0.14102   , 0.38503513, 0.8226921 ,
       0.67345285, 1.1322286 , 1.2493048 , 0.95080096, 1.2532682 ,
       0.7803341 , 0.87536293, 0.9438867 , 0.9503688 , 0.6604189 ,
       0.4101972 , 0.5310734 , 0.64149237, 0.48384398, 0.72087973],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.69741255, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.0780804)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.32527053)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.34159395)
Coordinates:
    spatial_ref  int32 4326",Rice
"(10.324181275911162, 105.25390574874059)",Rice,"<xarray.DataArray (time: 45)>
array([0.8241379 , 0.70711637, 0.74307954, 0.6256268 , 0.62600297,
       0.632112  , 0.804856  , 0.30931738, 0.13817757, 0.24062192,
       0.7317602 , 0.6744954 , 0.83831376, 1.0024433 , 0.9726478 ,
       1.1655049 , 0.8479674 , 0.7100225 , 0.9703814 , 0.839522  ,
       1.229887  , 0.91358835, 0.88772863, 0.30977064, 0.40328187,
       0.11828864, 0.2814259 , 0.14809124, 0.1899348 , 0.9997437 ,
       0.7355321 , 0.74123484, 0.7768949 , 0.8751912 , 1.224077  ,
       0.69191116, 0.8112558 , 0.8521679 , 0.32973844, 0.88826346,
       0.7966345 , 0.7660152 , 0.40758222, 0.47877625, 0.40893817],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.68155694, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.11828864)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.22988701)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.28872052)
Coordinates:
    spatial_ref  int32 4326",Rice
"(10.321001674103542, 105.24436694331814)",Rice,"<xarray.DataArray (time: 45)>
array([0.8144395 , 1.0243146 , 1.0035424 , 0.8433564 , 0.7267204 ,
       0.3381656 , 0.79828155, 0.7028196 , 0.12124532, 0.15690908,
       0.22790441, 0.30697006, 0.68187016, 0.8617715 , 0.7912053 ,
       1.0141488 , 1.0390426 , 0.8947721 , 1.117371  , 1.0115016 ,
       1.2691077 , 1.0154763 , 0.80932885, 0.3157215 , 0.46124554,
       0.09723779, 0.09167765, 0.40858778, 0.5246206 , 0.9816895 ,
       0.9630688 , 1.0665791 , 1.1463453 , 1.3308262 , 0.785307  ,
       0.9227661 , 0.69297117, 0.6915203 , 0.2564741 , 0.9023272 ,
       0.7150493 , 0.5294215 , 0.4848866 , 0.7763573 , 0.81663954],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.7229241, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.09167765)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.33082616)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.32222831)
Coordinates:
    spatial_ref  int32 4326",Rice
"(10.321001674103542, 105.2416415703403)",Rice,"<xarray.DataArray (time: 45)>
array([0.59218   , 0.6529482 , 0.5763091 , 0.2898822 , 0.8679109 ,
       0.3298736 , 0.8490458 , 1.0150304 , 0.24224375, 0.17069344,
       0.5804298 , 0.6537172 , 0.898646  , 0.99454224, 0.89883995,
       1.1368088 , 0.91425997, 0.8382101 , 1.0802656 , 0.8712026 ,
       1.2014146 , 0.91282463, 1.0563107 , 0.6513889 , 0.50111467,
       0.16490254, 0.3046946 , 0.10653581, 0.16543475, 0.7450264 ,
       0.84902084, 1.1683049 , 1.171253  , 0.9458024 , 1.1938173 ,
       0.981076  , 0.83574414, 0.89549685, 0.6331918 , 0.74127096,
       1.0304456 , 0.6212575 , 0.5199652 , 0.9101947 , 0.8742396 ],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.7474171, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.10653581)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.20141459)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.30421594)
Coordinates:
    spatial_ref  int32 4326",Rice
